cycle,p1Fitness,p2Fitness,averageTotalFitness
656,54,44,52.5
657,42,46,52.5
658,42,46,52.5
659,46,44,52.5
660,44,48,52.5
661,44,44,52.5
662,44,50,52.5
663,44,46,52.5
664,48,46,52.5
665,60,48,52.5
666,48,56,52.5
667,48,48,52.5
668,54,48,52.5
669,48,48,52.5
670,60,48,52.5
671,50,50,52.5
672,56,52,52.5
673,50,56,52.5
674,50,50,52.5
675,42,56,52.5
676,44,42,52.5
677,42,48,52.5
678,42,42,52.5
679,54,46,52.5
680,46,56,52.5
681,54,44,52.5
682,48,50,52.5
683,48,46,52.5
684,46,52,52.5
685,50,44,52.5
686,50,40,52.5
687,36,46,52.5
688,36,40,52.5
689,48,36,52.5
690,36,48,52.5
691,36,50,52.5
692,40,40,52.5
693,38,40,52.5
694,36,40,52.5
695,36,44,52.5
696,36,36,52.5
697,30,30,52.5
698,32,30,52.5
699,32,38,52.5
700,32,34,52.5
701,36,40,52.5
702,32,34,52.5
703,32,32,52.5
704,30,38,52.5
705,30,34,52.5
706,34,30,52.5
707,30,30,52.5
708,32,30,52.5
709,28,38,52.5
710,28,32,52.5
711,28,28,52.5
712,28,34,52.5
713,26,34,52.5
714,28,28,52.5
715,26,26,52.5
716,26,40,52.5
717,26,28,52.5
718,26,28,52.5
719,26,30,52.5
720,26,28,52.5
721,26,26,52.5
722,26,32,52.5
723,38,26,52.5
724,32,36,52.5
725,36,30,52.5
726,28,40,52.5
727,32,40,52.5
728,30,42,52.5
729,28,38,52.5
730,28,28,52.5
731,28,28,52.5
732,28,38,52.5
733,28,46,52.5
734,28,28,52.5
735,30,28,52.5
736,28,40,52.5
737,32,28,52.5
738,28,30,52.5
739,28,28,52.5
740,28,28,52.5
741,28,28,52.5
742,36,38,52.5
743,32,34,52.5
744,36,32,52.5
745,30,38,52.5
746,34,32,52.5
747,32,32,52.5
748,32,34,52.5
749,32,32,52.5
750,32,32,52.5
751,32,36,52.5
752,32,32,52.5
753,40,42,52.5
754,34,30,52.5
755,28,28,52.5
756,28,32,52.5
757,26,28,52.5
758,26,26,52.5
759,28,36,52.5
760,30,36,52.5
761,34,30,52.5
762,30,36,52.5
763,30,30,52.5
764,30,28,52.5
765,28,28,52.5
766,28,28,52.5
767,28,26,52.5
768,26,30,52.5
769,32,26,52.5
770,28,26,52.5
771,26,26,52.5
772,30,26,52.5
773,26,26,52.5
774,24,36,52.5
775,24,32,52.5
776,24,26,52.5
777,30,24,52.5
778,24,28,52.5
779,28,24,52.5
780,28,24,52.5
781,24,26,52.5
782,24,24,52.5
783,24,24,52.5
784,24,28,52.5
785,24,24,51.0
786,26,24,51.0
787,24,26,51.0
788,26,24,51.0
789,28,28,51.0
790,32,28,51.0
